var_readable,var_topic,var_pretty,var_database,data_source_label,is_demographics,is_community_living,is_community_participation,is_work_economic,display,display_type,national_dropdown_label,national_summary_text,var_base,var_coding,universe_note,pct_definition
pop_cni_total_all,Overview,Population,S1810_C01_001,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"The U.S. Census Bureau universe for reporting most disability data is the civilian noninstitutional population, which is defined as persons who are not inmates of institutions (e.g., penal and mental facilities, homes for the aged), and who are not on active duty in the Armed Forces.",NA,NA,,
pop_cni_total_dis,Overview,# WITH Disabilities,S1810_C02_001,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_total_dis,Overview,% WITH Disabilities,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,People with Disabilities,"According to the U.S. Census Bureau, a person is considered to have a disability if they report one of six disability types (hearing, vision, cognitive, ambulatory, self-care, or independent living).",NA,NA,"Everyone in the state's civilian noninstitutionalized population — people not living in an institution such as a nursing home or prison, and not on active military duty. Percentages show the share of this group that reports at least one of the six disability types the Census Bureau measures.","Of the state's civilian noninstitutionalized population, the share who report at least one of the six disability types (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
pop_cni_total_nodis,Overview,# WITHOUT Disabilities,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_total_nodis,Overview,% WITHOUT Disabilities,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, a person is considered to have a disability if they do not report one of six disability types (hearing, vision, cognitive, ambulatory, self-care, or independent living).",NA,NA,,"Of the state's civilian noninstitutionalized population, the share who report none of the six disability types."
pop_cni_total_hearing_dis,Hearing Disability,# WITH a Hearing Disability,S1810_C02_019,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_total_hearing_dis,Hearing Disability,% WITH a Hearing Disability,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Disability Type: Hearing,"According to the U.S. Census Bureau, a hearing disability is defined as being deaf or having serious difficulty hearing.",NA,NA,"All of the state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty). Percentages show the share of this group that reports being deaf or having serious difficulty hearing.","Of the state's civilian noninstitutionalized population, the share who report being deaf or having serious difficulty hearing."
pop_cni_total_vision_dis,Vision Disability,# WITH a Vision Disability,S1810_C02_029,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_total_vision_dis,Vision Disability,% WITH a Vision Disability,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Disability Type: Vision,"According to the U.S. Census Bureau, a vision disability is defined as being blind or having serious difficulty seeing, even when wearing glasses",NA,NA,"All of the state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty). Percentages show the share of this group that reports blindness or serious difficulty seeing even with glasses.","Of the state's civilian noninstitutionalized population, the share who report blindness or serious difficulty seeing even when wearing glasses."
pop_cni_total_cognitive_dis,Cognitive Disability,# WITH a Cognitive Disability,S1810_C02_039,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_total_cognitive_dis,Cognitive Disability,% WITH a Cognitive Disability,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Disability Type: Cognitive,"According to the U.S. Census Bureau, a cognitive disability is defined as having difficulty remembering, concentrating, or making decisions because of a physical, mental, or emotional problem.",NA,NA,"The state's civilian noninstitutionalized population aged 5 and older (people not living in an institution such as a nursing home or prison, and not on active military duty). The Census Bureau does not measure cognitive disability for children under 5. Percentages show the share of this group that reports serious difficulty concentrating, remembering, or making decisions.","Of the state's civilian noninstitutionalized population aged 5 and older, the share who report serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition."
pop_cni_total_mobility_dis,Ambulatory,# WITH a Mobility Disability,S1810_C02_047,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_total_mobility_dis,Ambulatory,% WITH a Mobility Disability,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Disability Type: Mobility,"According to the U.S. Census Bureau, an ambulatory disability is defined as having serious difficulty walking or climbing stairs.",NA,NA,"The state's civilian noninstitutionalized population aged 5 and older (people not living in an institution such as a nursing home or prison, and not on active military duty). The Census Bureau does not measure ambulatory disability for children under 5. Percentages show the share of this group that reports serious difficulty walking or climbing stairs.","Of the state's civilian noninstitutionalized population aged 5 and older, the share who report serious difficulty walking or climbing stairs."
pop_cni_selfcare_dis,Self Care,# WITH a Self Care Disability,S1810_C02_055,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_selfcare_dis,Self Care,% WITH a Self Care Disability,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Disability Type: Self-Care,"According to the U.S. Census Bureau, a self-care disability is defined as having difficulty bathing or dressing.",NA,NA,"The state's civilian noninstitutionalized population aged 5 and older (people not living in an institution such as a nursing home or prison, and not on active military duty). The Census Bureau does not measure self-care disability for children under 5. Percentages show the share of this group that reports difficulty bathing or dressing.","Of the state's civilian noninstitutionalized population aged 5 and older, the share who report difficulty bathing or dressing."
pop_cni_indepliving_dis,Independent Living,# WITH an Independent Living Disability,S1810_C02_063,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_indepliving_dis,Independent Living,% WITH an Independent Living Disability,NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Disability Type: Independent Living,"According to the U.S. Census Bureau, an independent living disability is defined as having difficulty doing errands alone such as visiting a doctor's office or shopping because of a physical, mental, or emotional problem.",NA,NA,"The state's civilian noninstitutionalized population aged 18 and older (people not living in an institution such as a nursing home or prison, and not on active military duty). The Census Bureau measures independent living disability only for adults. Percentages show the share of this group that reports difficulty doing errands alone, such as visiting a doctor's office or shopping.","Of the state's civilian noninstitutionalized population aged 18 and older, the share who report difficulty doing errands alone, such as visiting a doctor's office or shopping, because of a physical, mental, or emotional condition."
pop_cni_white_dis,White Alone,"# WITH a disability, White",S1810_C02_004,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pop_cni_white_nodis,White Alone,"# WITHOUT a disability, White",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_dis_white,White Alone,"% WITH Disabilities, White alone",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, white is defined as a person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",NA,NA,,"Of the state's civilian noninstitutionalized population with disabilities, the share who are White alone. (Race composition of the disability population.)"
pct_cni_white_and_dis,White Alone,"% of Population, White alone & Disabled",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, white is defined as a person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty), grouped by race and Hispanic origin as reported to the Census Bureau. Figures compare White-alone residents with and without disabilities and show what share of the White-alone population reports a disability.",
pct_cni_white_dis,White Alone,"% WITH a disability, White",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Race: White,"According to the U.S. Census Bureau, white is defined as a person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty) who identify as White and no other race — what the Census Bureau labels ""White alone."" People who also report Hispanic or Latino origin are included. The map shows the share of this group that reports one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living). The table below splits the same group into those with and without a disability, as both counts and percentages.","Of the White-alone segment of the state's civilian noninstitutionalized population, the share who report one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
pct_cni_white_nodis,White Alone,"% WITHOUT a disability, White",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, white is defined as a person having origins in any of the original peoples of Europe, the Middle East, or North Africa.",NA,NA,,"Of the White-alone segment of the state's civilian noninstitutionalized population, the share who report none of the six disability types."
pop_cni_whitenonhisp_dis,Non-Hispanic White Alone,"# WITH a disability, White, Non-Hispanic",S1810_C02_011,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pop_cni_whitenonhisp_nodis,Non-Hispanic White Alone,"# WITHOUT a disability, White, Non-Hispanic",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_dis_whitenonhisp,Non-Hispanic White Alone,"% WITH Disabilities, White alone Non-Hispanic",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, Hispanic or Latino is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin regardless of race.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty), grouped by race and Hispanic origin. Figures cover residents who are White alone and not Hispanic, comparing those with and without disabilities.","Of the state's civilian noninstitutionalized population with disabilities, the share who are White alone and not Hispanic."
pct_cni_whitenonhisp_dis,Non-Hispanic White Alone,"% WITH a disability, White, Non-Hispanic",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,"Race: White, Non-Hispanic","According to the U.S. Census Bureau, Hispanic or Latino is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin regardless of race.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty) who identify as White and no other race and who do not report Hispanic or Latino origin — what the Census Bureau labels ""White alone, not Hispanic or Latino"". The map shows the share of this group that reports one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living). The table below splits the same group into those with and without a disability, as both counts and percentages.","Of the White-alone, non-Hispanic segment of the state's civilian noninstitutionalized population, the share who report one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
pct_cni_whitenonhisp_nodis,Non-Hispanic White Alone,"% WITHOUT a disability, White, Non-Hispanic",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, Hispanic or Latino is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin regardless of race.",NA,NA,,"Of the White-alone, non-Hispanic segment of the state's civilian noninstitutionalized population, the share who report none of the six disability types."
pct_cni_whitenonhisp_and_dis,Non-Hispanic White Alone,"% of Population, White alone Non-Hispanic alone and Disabled",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, Hispanic or Latino is defined as a person of Cuban, Mexican, Puerto Rican, South or Central American, or other Spanish culture or origin regardless of race.",NA,NA,,
pop_cni_black_dis,Black Alone,"# WITH a disability, Black",S1810_C02_005,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pop_cni_black_nodis,Black Alone,"# WITHOUT a disability, Black",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,NA,NA,NA,,
pct_cni_dis_black,Black Alone,"% WITH Disabilities, Black alone",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,False,standalone,NA,"According to the U.S. Census Bureau, Black or African American is defined as a person having origins in any of the Black racial groups of Africa.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty), grouped by race and Hispanic origin. Figures compare Black-alone residents with and without disabilities and show what share of the Black-alone population reports a disability.","Of the state's civilian noninstitutionalized population with disabilities, the share who are Black alone."
pct_cni_black_dis,Black Alone,"% WITH a disability, Black",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,Race: Black,"According to the U.S. Census Bureau, Black or African American is defined as a person having origins in any of the Black racial groups of Africa.",NA,NA,"The state's civilian noninstitutionalized population (people not living in an institution such as a nursing home or prison, and not on active military duty) who identify as Black or African American and no other race — what the Census Bureau labels ""Black or African American alone."" People who also report Hispanic or Latino origin are included. The map shows the share of this group that reports one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living). The table below splits the same group into those with and without a disability, as both counts and percentages.","Of the Black-alone segment of the state's civilian noninstitutionalized population, the share who report one or more of the six disability types the Census Bureau measures (hearing, vision, cognitive, ambulatory, self-care, or independent living)."
pct_cni_black_nodis,Black Alone,"% WITHOUT a disability, Black",NA,2020-2024 American Community Survey 5-Year Estimates (S1810),True,False,False,False,True,standalone,NA,"According to the U.S. Census Bureau, Black or African American is defined as a person having origins in any of the Black racial groups of Africa.",NA,NA,,"Of the Black-alone segment of the state's civilian noninstitutionalized population, the share who report none of the six disability types."
