ABBR,pct_cni_hoh_hcv_dis,pct_cni_hoh_pubhousing_dis
AL,33,33
AK,52,32
AZ,51,32
AR,48,38
CA,51,32
CO,52,49
CT,41,44
DE,42,43
DC,33,34
FL,43,37
GA,37,30
HI,40,42
ID,61,68
IL,38,36
IN,45,41
IA,52,42
KS,50,37
KY,46,39
LA,40,34
ME,63,47
MD,44,41
MA,49,48
MI,48,48
MN,46,48
MS,35,32
MO,45,40
MT,53,36
NE,50,37
NV,49,40
NH,59,61
NJ,39,41
NM,58,41
NY,46,39
NC,44,34
ND,54,37
OH,47,37
OK,50,45
OR,54,56
PA,46,48
RI,46,45
SC,37,31
SD,53,43
TN,39,36
TX,42,37
UT,64,45
VT,62,58
VA,43,36
WA,56,47
WV,48,38
WI,52,45
WY,57,42
GU,14,12
MP,10,NA
PR,13,12
VI,7,17
