GEOID,NAME,ABBR,year,indicator_id,category,dimension,indicator_label,value_pwd,value_pwod,value_raw,direction,transform,weight,source_status,notes,value_transformed,value_winsor,z_score,score_100_unadjusted,score_100
000,United States,USA,2024,rel_score_home,CL,relative,Living at Home: Relative,93.2272772565292,NA,93.2272772565292,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.2272772565292,93.2272772565292,0.12570522573296697,55.0017367426046,55.0017367426046
01,Alabama,AL,2024,rel_score_home,CL,relative,Living at Home: Relative,94.44834126502327,NA,94.44834126502327,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.44834126502327,94.44834126502327,0.8090889113116726,79.07679969807747,79.07679969807747
02,Alaska,AK,2024,rel_score_home,CL,relative,Living at Home: Relative,93.55161212894984,NA,93.55161212894984,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.55161212894984,93.55161212894984,0.30722327796830157,62.06632857525064,62.06632857525064
04,Arizona,AZ,2024,rel_score_home,CL,relative,Living at Home: Relative,94.8501376503997,NA,94.8501376503997,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.8501376503997,94.8501376503997,1.0339592643649782,84.94223963558831,84.94223963558831
05,Arkansas,AR,2024,rel_score_home,CL,relative,Living at Home: Relative,94.98973373058251,NA,94.98973373058251,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.98973373058251,94.98973373058251,1.1120859498655395,86.69494014450196,86.69494014450196
06,California,CA,2024,rel_score_home,CL,relative,Living at Home: Relative,92.65770112711913,NA,92.65770112711913,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.65770112711913,92.65770112711913,-0.19306515143502537,42.34539721445248,42.34539721445248
08,Colorado,CO,2024,rel_score_home,CL,relative,Living at Home: Relative,93.03999916479415,NA,93.03999916479415,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.03999916479415,93.03999916479415,0.02089270839746082,50.83343783940941,50.83343783940941
09,Connecticut,CT,2024,rel_score_home,CL,relative,Living at Home: Relative,91.22856785410544,NA,91.22856785410544,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.22856785410544,91.22856785410544,-0.9928973932351478,16.037998013626943,16.037998013626943
10,Delaware,DE,2024,rel_score_home,CL,relative,Living at Home: Relative,94.65600325569817,NA,94.65600325569817,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.65600325569817,94.65600325569817,0.9253095316516657,82.25975389488175,82.25975389488175
11,District of Columbia,DC,2024,rel_score_home,CL,relative,Living at Home: Relative,89.29249636252004,NA,89.29249636252004,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,89.29249636252004,89.29249636252004,-2.0764439249974234,1.8926456147821642,1.8926456147821642
12,Florida,FL,2024,rel_score_home,CL,relative,Living at Home: Relative,93.83130178467904,NA,93.83130178467904,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.83130178467904,93.83130178467904,0.4637550784479393,67.85883845216213,67.85883845216213
13,Georgia,GA,2024,rel_score_home,CL,relative,Living at Home: Relative,94.60674137219534,NA,94.60674137219534,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.60674137219534,94.60674137219534,0.8977395047959678,81.5337778476176,81.5337778476176
15,Hawaii,HI,2024,rel_score_home,CL,relative,Living at Home: Relative,93.0966776497088,NA,93.0966776497088,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.0966776497088,93.0966776497088,0.052613528636650586,52.09800811959527,52.09800811959527
16,Idaho,ID,2024,rel_score_home,CL,relative,Living at Home: Relative,94.03616653878524,NA,94.03616653878524,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.03616653878524,94.03616653878524,0.5784101904915174,71.8506392226755,71.8506392226755
17,Illinois,IL,2024,rel_score_home,CL,relative,Living at Home: Relative,92.33401663923912,NA,92.33401663923912,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.33401663923912,92.33401663923912,-0.37421920785905916,35.41206173423533,35.41206173423533
18,Indiana,IN,2024,rel_score_home,CL,relative,Living at Home: Relative,93.1529762623374,NA,93.1529762623374,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.1529762623374,93.1529762623374,0.08412174861813708,53.35201834834253,53.35201834834253
19,Iowa,IA,2024,rel_score_home,CL,relative,Living at Home: Relative,90.5347821549219,NA,90.5347821549219,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,90.5347821549219,90.5347821549219,-1.3811832036527165,8.361131891228226,8.361131891228226
20,Kansas,KS,2024,rel_score_home,CL,relative,Living at Home: Relative,91.04185826373188,NA,91.04185826373188,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.04185826373188,91.04185826373188,-1.0973917417007377,13.623509095756617,13.623509095756617
21,Kentucky,KY,2024,rel_score_home,CL,relative,Living at Home: Relative,94.42442768882876,NA,94.42442768882876,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.42442768882876,94.42442768882876,0.7957053804553905,78.68983505964832,78.68983505964832
22,Louisiana,LA,2024,rel_score_home,CL,relative,Living at Home: Relative,94.194572598965,NA,94.194572598965,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.194572598965,94.194572598965,0.6670641156507331,74.76344099158688,74.76344099158688
23,Maine,ME,2024,rel_score_home,CL,relative,Living at Home: Relative,92.08169619877404,NA,92.08169619877404,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.08169619877404,92.08169619877404,-0.5154334860233387,30.31250688871932,30.31250688871932
24,Maryland,MD,2024,rel_score_home,CL,relative,Living at Home: Relative,93.15180072996972,NA,93.15180072996972,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.15180072996972,93.15180072996972,0.08346384728261695,53.32586386263265,53.32586386263265
25,Massachusetts,MA,2024,rel_score_home,CL,relative,Living at Home: Relative,91.44355283046362,NA,91.44355283046362,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.44355283046362,91.44355283046362,-0.8725783727204927,19.144646649669898,19.144646649669898
26,Michigan,MI,2024,rel_score_home,CL,relative,Living at Home: Relative,93.76993211734876,NA,93.76993211734876,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.76993211734876,93.76993211734876,0.42940877952243844,66.61871171526406,66.61871171526406
27,Minnesota,MN,2024,rel_score_home,CL,relative,Living at Home: Relative,90.14870190296146,NA,90.14870190296146,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,90.14870190296146,90.14870190296146,-1.5972578268326036,5.510412368718668,5.510412368718668
28,Mississippi,MS,2024,rel_score_home,CL,relative,Living at Home: Relative,94.25101658232347,NA,94.25101658232347,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.25101658232347,94.25101658232347,0.6986536941723627,75.76157604611824,75.76157604611824
29,Missouri,MO,2024,rel_score_home,CL,relative,Living at Home: Relative,92.98939097705872,NA,92.98939097705872,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.98939097705872,92.98939097705872,-0.007430794395610375,49.703556921966296,49.703556921966296
30,Montana,MT,2024,rel_score_home,CL,relative,Living at Home: Relative,92.73210221973513,NA,92.73210221973513,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.73210221973513,92.73210221973513,-0.15142565298996755,43.981997731140204,43.981997731140204
31,Nebraska,NE,2024,rel_score_home,CL,relative,Living at Home: Relative,92.59715459868292,NA,92.59715459868292,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.59715459868292,92.59715459868292,-0.22695077042297623,41.02310114052285,41.02310114052285
32,Nevada,NV,2024,rel_score_home,CL,relative,Living at Home: Relative,96.97347812784088,NA,96.97347812784088,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,96.97347812784088,96.97347812784088,2.2223132172439755,98.6868927232385,98.6868927232385
33,New Hampshire,NH,2024,rel_score_home,CL,relative,Living at Home: Relative,91.53629203933028,NA,91.53629203933028,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.53629203933028,91.53629203933028,-0.8206757190413347,20.591550245578137,20.591550245578137
34,New Jersey,NJ,2024,rel_score_home,CL,relative,Living at Home: Relative,93.85259495657192,NA,93.85259495657192,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.85259495657192,93.85259495657192,0.4756720673892172,68.28459880880298,68.28459880880298
35,New Mexico,NM,2024,rel_score_home,CL,relative,Living at Home: Relative,95.21677272490558,NA,95.21677272490558,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,95.21677272490558,95.21677272490558,1.2391511517151395,89.23552366032226,89.23552366032226
36,New York,NY,2024,rel_score_home,CL,relative,Living at Home: Relative,91.379034373762,NA,91.379034373762,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.379034373762,91.379034373762,-0.9086869308483998,18.175770236861727,18.175770236861727
37,North Carolina,NC,2024,rel_score_home,CL,relative,Living at Home: Relative,94.07484697553924,NA,94.07484697553924,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.07484697553924,94.07484697553924,0.600058178840095,72.57662685324394,72.57662685324394
38,North Dakota,ND,2024,rel_score_home,CL,relative,Living at Home: Relative,89.38016270693015,NA,89.38016270693015,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,89.38016270693015,89.38016270693015,-2.0273803631141445,2.131176429575841,2.131176429575841
39,Ohio,OH,2024,rel_score_home,CL,relative,Living at Home: Relative,92.68417923628424,NA,92.68417923628424,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.68417923628424,92.68417923628424,-0.17824634775025752,42.92647561196492,42.92647561196492
40,Oklahoma,OK,2024,rel_score_home,CL,relative,Living at Home: Relative,93.83653688107393,NA,93.83653688107393,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.83653688107393,93.83653688107393,0.4666849653693529,67.96373560433722,67.96373560433722
41,Oregon,OR,2024,rel_score_home,CL,relative,Living at Home: Relative,92.69315887787354,NA,92.69315887787354,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.69315887787354,92.69315887787354,-0.1732207794575322,43.123894544298224,43.123894544298224
42,Pennsylvania,PA,2024,rel_score_home,CL,relative,Living at Home: Relative,91.953331936874,NA,91.953331936874,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,91.953331936874,91.953331936874,-0.5872741444848315,27.85098015287324,27.85098015287324
44,Rhode Island,RI,2024,rel_score_home,CL,relative,Living at Home: Relative,90.37875764821013,NA,90.37875764821013,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,90.37875764821013,90.37875764821013,-1.4685042627418226,7.0983649596041,7.0983649596041
45,South Carolina,SC,2024,rel_score_home,CL,relative,Living at Home: Relative,94.625102470785,NA,94.625102470785,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.625102470785,94.625102470785,0.9080155223824204,81.80649896582189,81.80649896582189
46,South Dakota,SD,2024,rel_score_home,CL,relative,Living at Home: Relative,87.49869978582734,NA,87.49869978582734,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,87.49869978582734,87.49869978582734,-3.080364528038175,0.10337369225526039,0.10337369225526039
47,Tennessee,TN,2024,rel_score_home,CL,relative,Living at Home: Relative,94.56995478156516,NA,94.56995478156516,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.56995478156516,94.56995478156516,0.8771514310259975,80.97978036850523,80.97978036850523
48,Texas,TX,2024,rel_score_home,CL,relative,Living at Home: Relative,94.0510648592337,NA,94.0510648592337,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.0510648592337,94.0510648592337,0.5867482211485361,72.13135916613832,72.13135916613832
49,Utah,UT,2024,rel_score_home,CL,relative,Living at Home: Relative,94.69093913797938,NA,94.69093913797938,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.69093913797938,94.69093913797938,0.9448618334361781,82.7635290525321,82.7635290525321
50,Vermont,VT,2024,rel_score_home,CL,relative,Living at Home: Relative,90.66260878558592,NA,90.66260878558592,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,90.66260878558592,90.66260878558592,-1.3096434372108094,9.515824332265783,9.515824332265783
51,Virginia,VA,2024,rel_score_home,CL,relative,Living at Home: Relative,93.88725320700227,NA,93.88725320700227,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,93.88725320700227,93.88725320700227,0.4950689890493811,68.97242884751842,68.97242884751842
53,Washington,WA,2024,rel_score_home,CL,relative,Living at Home: Relative,94.025443572363,NA,94.025443572363,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.025443572363,94.025443572363,0.5724089487359753,71.64775226408983,71.64775226408983
54,West Virginia,WV,2024,rel_score_home,CL,relative,Living at Home: Relative,94.5550437026956,NA,94.5550437026956,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.5550437026956,94.5550437026956,0.8688062599596571,80.75234457180406,80.75234457180406
55,Wisconsin,WI,2024,rel_score_home,CL,relative,Living at Home: Relative,92.60518738550216,NA,92.60518738550216,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,92.60518738550216,92.60518738550216,-0.2224551211991716,41.197980303157294,41.197980303157294
56,Wyoming,WY,2024,rel_score_home,CL,relative,Living at Home: Relative,94.64756621460904,NA,94.64756621460904,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,94.64756621460904,94.64756621460904,0.9205876364891219,82.13671202448015,82.13671202448015
72,Puerto Rico,PR,2024,rel_score_home,CL,relative,Living at Home: Relative,NA,NA,NA,higher_better,none,1,acs_ready,ACS PUMS TYPE=1 (housing unit resident) DIS=1 AGEP 18-64. Denominator = all PWD 18-64 including GQ.,NA,NA,NA,NA,NA
000,United States,USA,2024,eq_score_home,CL,equity,Living at Home: Equity,93.2272772565292,98.2381403327522,5.010863076222989,lower_better,none,1,acs_ready,NA,5.010863076222989,5.010863076222989,-0.011566538979574584,49.53857214501065,50.46142785498935
01,Alabama,AL,2024,eq_score_home,CL,equity,Living at Home: Equity,94.44834126502327,97.8540590775011,3.4057178124778176,lower_better,none,1,acs_ready,NA,3.4057178124778176,3.4057178124778176,-1.0090862428353893,15.646663756061352,84.35333624393864
02,Alaska,AK,2024,eq_score_home,CL,equity,Living at Home: Equity,93.55161212894984,96.17446698464796,2.622854855698108,lower_better,none,1,acs_ready,NA,2.622854855698108,2.622854855698108,-1.4955974904121445,6.737928876706051,93.26207112329395
04,Arizona,AZ,2024,eq_score_home,CL,equity,Living at Home: Equity,94.8501376503997,98.29458872950292,3.4444510791032315,lower_better,none,1,acs_ready,NA,3.4444510791032315,3.4444510791032315,-0.9850154016933224,16.230825285452468,83.76917471454753
05,Arkansas,AR,2024,eq_score_home,CL,equity,Living at Home: Equity,94.98973373058251,97.80151377188196,2.8117800412994427,lower_better,none,1,acs_ready,NA,2.8117800412994427,2.8117800412994427,-1.3781896772699023,8.407236676096893,91.59276332390311
06,California,CA,2024,eq_score_home,CL,equity,Living at Home: Equity,92.65770112711913,98.4834846776842,5.8257835505650775,lower_better,none,1,acs_ready,NA,5.8257835505650775,5.8257835505650775,0.49486689641871434,68.9652960329954,31.034703967004603
08,Colorado,CO,2024,eq_score_home,CL,equity,Living at Home: Equity,93.03999916479415,98.52543915420776,5.485439989413578,lower_better,none,1,acs_ready,NA,5.485439989413578,5.485439989413578,0.2833599281727706,61.15495286300787,38.84504713699213
09,Connecticut,CT,2024,eq_score_home,CL,equity,Living at Home: Equity,91.22856785410544,98.03510875625788,6.80654090215242,lower_better,none,1,acs_ready,NA,6.80654090215242,6.80654090215242,1.1043598843786722,86.5281472410773,13.471852758922694
10,Delaware,DE,2024,eq_score_home,CL,equity,Living at Home: Equity,94.65600325569817,98.23849758825064,3.5824943325525,lower_better,none,1,acs_ready,NA,3.5824943325525,3.5824943325525,-0.899228234381923,18.42655521090509,81.5734447890949
11,District of Columbia,DC,2024,eq_score_home,CL,equity,Living at Home: Equity,89.29249636252004,95.73489730384098,6.44240094132094,lower_better,none,1,acs_ready,NA,6.44240094132094,6.44240094132094,0.8780646112373671,81.00456717935953,18.995432820640474
12,Florida,FL,2024,eq_score_home,CL,equity,Living at Home: Equity,93.83130178467904,98.5365411699504,4.705239385271355,lower_better,none,1,acs_ready,NA,4.705239385271355,4.705239385271355,-0.20149679674208631,42.01550669495267,57.98449330504733
13,Georgia,GA,2024,eq_score_home,CL,equity,Living at Home: Equity,94.60674137219534,98.20244241729822,3.595701045102871,lower_better,none,1,acs_ready,NA,3.595701045102871,3.595701045102871,-0.891020904933486,18.645897766280534,81.35410223371946
15,Hawaii,HI,2024,eq_score_home,CL,equity,Living at Home: Equity,93.0966776497088,97.83807978728672,4.741402137577907,lower_better,none,1,acs_ready,NA,4.741402137577907,4.741402137577907,-0.17902340521409685,42.89596619333241,57.10403380666759
16,Idaho,ID,2024,eq_score_home,CL,equity,Living at Home: Equity,94.03616653878524,97.98978090965626,3.953614370871009,lower_better,none,1,acs_ready,NA,3.953614370871009,3.953614370871009,-0.6685951826077319,25.187687321531328,74.81231267846867
17,Illinois,IL,2024,eq_score_home,CL,equity,Living at Home: Equity,92.33401663923912,98.5091529387903,6.17513629955117,lower_better,none,1,acs_ready,NA,6.17513629955117,6.17513629955117,0.7119726366784609,76.17591396837007,23.824086031629932
18,Indiana,IN,2024,eq_score_home,CL,equity,Living at Home: Equity,93.1529762623374,98.11615815096862,4.963181888631226,lower_better,none,1,acs_ready,NA,4.963181888631226,4.963181888631226,-0.04119807775697726,48.35689930505577,51.64310069494423
19,Iowa,IA,2024,eq_score_home,CL,equity,Living at Home: Equity,90.5347821549219,97.89484566868629,7.360063513764388,lower_better,none,1,acs_ready,NA,7.360063513764388,7.360063513764388,1.4483472630190173,92.62400220977258,7.375997790227416
20,Kansas,KS,2024,eq_score_home,CL,equity,Living at Home: Equity,91.04185826373188,98.05425330084864,7.012395037116761,lower_better,none,1,acs_ready,NA,7.012395037116761,7.012395037116761,1.232288216091162,89.1079279946623,10.892072005337695
21,Kentucky,KY,2024,eq_score_home,CL,equity,Living at Home: Equity,94.42442768882876,97.99055046017222,3.5661227713434585,lower_better,none,1,acs_ready,NA,3.5661227713434585,3.5661227713434585,-0.9094023633269859,18.156888738689894,81.8431112613101
22,Louisiana,LA,2024,eq_score_home,CL,equity,Living at Home: Equity,94.194572598965,97.94498604156252,3.750413442597519,lower_better,none,1,acs_ready,NA,3.750413442597519,3.750413442597519,-0.7948746754192796,21.334320342107667,78.66567965789233
23,Maine,ME,2024,eq_score_home,CL,equity,Living at Home: Equity,92.08169619877404,98.05614009444908,5.974443895675051,lower_better,none,1,acs_ready,NA,5.974443895675051,5.974443895675051,0.5872520697601016,72.14827868014166,27.851721319858342
24,Maryland,MD,2024,eq_score_home,CL,equity,Living at Home: Equity,93.15180072996972,98.56808547830045,5.416284748330725,lower_better,none,1,acs_ready,NA,5.416284748330725,5.416284748330725,0.24038330969271435,59.49834420658719,40.50165579341281
25,Massachusetts,MA,2024,eq_score_home,CL,equity,Living at Home: Equity,91.44355283046362,97.27278184865096,5.829229018187334,lower_better,none,1,acs_ready,NA,5.829229018187334,5.829229018187334,0.49700808695132637,69.04083257270952,30.95916742729048
26,Michigan,MI,2024,eq_score_home,CL,equity,Living at Home: Equity,93.76993211734876,98.5842717552025,4.81433963785372,lower_better,none,1,acs_ready,NA,4.81433963785372,4.81433963785372,-0.13369629662247018,44.682136686998184,55.317863313001816
